tweetID,followers,listed,followings,verified,Total_favourite_count,tweet_favorite_count
882905814670999552,14833,4780,14785,0,10,0
882905814104715264,14833,4780,14785,0,10,0
882905811940495361,14833,4780,14785,0,10,0
882905810715766785,397,12,1123,0,1226,0
882905809973264384,450,21,713,0,1696,0
882905807553265664,516,8,4111,0,2829,0
882905800318078976,115,0,631,0,1063,0
882905800288743425,1361,56,1195,0,1315,0
882905797562216448,616,187,358,0,64,0
882905795310096384,417,34,1426,0,891,0
882905795091976192,50,0,128,0,7368,0
882905789769404416,134,1,451,0,962,0
882905787848245250,1109,10,130,0,138,0
882905785944203264,1026,292,315,0,10799,0
882905785029713920,1120,9,1575,0,5330,0
882905783649918977,1608,7,2491,0,2,0
882905781829419008,756,86,894,0,4617,0
882905780105748480,1432,107,244,0,127165,0
882905775319818240,350,44,732,0,21868,0
882905770525827077,42,0,25,0,879,0
882905763198500864,45505,179,23,0,8,0
882905756730769408,558,26,500,0,5440,0
882905755405344768,359,1,511,0,95,0
882905754260434945,3155,384,802,0,6890,0
882905752851054592,817,0,660,0,2405,0
882905750854549504,13520,102,6601,0,13258,0
882905749961060352,45,0,127,0,5321,0
882905747792642048,824,84,2880,0,32625,0
882905747301990404,47578,159,1344,0,21193,1
882905740398256128,895,42,220,0,17941,0
882905735608258562,62,4,97,0,277,0
882905734840803328,601,1,1692,0,68,0
882905732483489792,540,5,253,0,852,0
882905726414241792,2042,14,855,0,2663,0
882905717174288385,435,27,166,0,6274,0
882905715722960898,5893385,6082,860,1,3030,4
882905709146284032,2886,99,127,0,736,0
882905706403217409,412,581,313,0,14,0
882905705367425027,148,1,127,0,3346,0
882905702674690049,3155,384,802,0,6890,0
882905699457654784,13,0,87,0,7,0
882905698153234432,70,2,90,0,7981,0
882905688178950146,195,7,452,0,619,0
882905670080757761,148,1,127,0,3346,0
882905666343510018,131,1,318,0,1056,0
882905663701004288,39,9,180,0,15,0
882905662929252352,567,27,567,0,27432,0
882905662845403138,73,0,583,0,122,0
882905654272196608,137,27,657,0,2086,0
882905653098029056,32,0,146,0,36,0
882905641962004481,69,0,56,0,429,0
882905640905170944,141,0,459,0,112,0
